FOMC's target range for the federal funds rate
Percent

Effective Date	Federal Funds - Level % (Low)	Federal Funds - Level % (High)
03/20/2014	0	0.25
05/01/2014	0	0.25
06/19/2014	0	0.25
07/31/2014	0	0.25
09/18/2014	0	0.25
10/30/2014	0	0.25
12/18/2014	0	0.25
01/29/2015	0	0.25
03/19/2015	0	0.25
04/30/2015	0	0.25
06/18/2015	0	0.25
07/30/2015	0	0.25
09/18/2015	0	0.25
10/29/2015	0	0.25
12/17/2015	0.25	0.5
01/28/2016	0.25	0.5
03/17/2016	0.25	0.5
04/28/2016	0.25	0.5
06/16/2016	0.25	0.5
07/28/2016	0.25	0.5
09/22/2016	0.25	0.5
11/03/2016	0.25	0.5
12/15/2016	0.5	0.75
02/02/2017	0.5	0.75
03/16/2017	0.75	1
05/04/2017	0.75	1
06/15/2017	1	1.25
07/27/2017	1	1.25
09/21/2017	1	1.25
11/02/2017	1	1.25
12/14/2017	1.25	1.5
02/01/2018	1.25	1.5
03/22/2018	1.5	1.75
05/03/2018	1.5	1.75
06/14/2018	1.75	2
08/02/2018	1.75	2
09/27/2018	2	2.25
11/09/2018	2	2.25
12/20/2018	2.25	2.5
01/31/2019	2.25	2.5
03/21/2019	2.25	2.5
05/02/2019	2.25	2.5
06/20/2019	2.25	2.5
08/01/2019	2	2.25
09/19/2019	1.75	2
10/31/2019	1.5	1.75
12/12/2019	1.5	1.75
01/30/2020	1.5	1.75
03/04/2020	1	1.25
03/16/2020	0	0.25
04/30/2020	0	0.25
06/11/2020	0	0.25
07/30/2020	0	0.25
09/17/2020	0	0.25
11/06/2020	0	0.25
12/17/2020	0	0.25
01/28/2021	0	0.25
03/18/2021	0	0.25
04/29/2021	0	0.25
06/17/2021	0	0.25
07/29/2021	0	0.25
09/23/2021	0	0.25
11/04/2021	0	0.25
12/16/2021	0	0.25
01/27/2022	0	0.25
03/17/2022	0.25	0.5
05/05/2022	0.75	1
06/16/2022	1.5	1.75
07/28/2022	2.25	2.5
09/22/2022	3	3.25
11/03/2022	3.75	4
12/15/2022	4.25	4.5
02/02/2023	4.5	4.75
03/23/2023	4.75	5
05/04/2023	5	5.25
06/15/2023	5	5.25
07/27/2023	5.25	5.5
09/21/2023	5.25	5.5
11/02/2023	5.25	5.5
12/14/2023	5.25	5.5
02/01/2024	5.25	5.5
03/21/2024	5.25	5.5
05/02/2024	5.25	5.5
06/13/2024	5.25	5.5
08/01/2024	5.25	5.5
09/19/2024	4.75	5
11/08/2024	4.5	4.75
12/19/2024	4.25	4.5
01/30/2025	4.25	4.5
03/20/2025	4.25	4.5


